Tour,Description,Price
     Paseo por el Born con cena de tapas y espectáculo flamenco   ,   En este tour nos adentraremos en el barrio de moda de Barcelona para disfrutar de un espectáculo de flamenco y degustar una variada selección de tapas. ¡Pura esencia española en el Born!   , 73 € 
     Barcelona Pass   ,"   La tarjeta Barcelona Pass permite el acceso gratuito a más de 20 atracciones de Barcelona, incluyendo el Camp Nou, la Casa Batlló, el autobús turístico y mucho más. ¡Imprescindible!   ", 75 € 
     Trekking por Montserrat y visita al monasterio   ,"   Déjate seducir por el encanto de la montaña más emblemática de Cataluña: el pico Montserrat. Subirás al Parque Natural en ferrocarril, practica senderismo hasta la cima y visita el monasterio. ", 109 € 
     Comida o cena en el Hard Rock Cafe Barcelona   ,"   Contágiate del ritmo del rock y vive una experiencia gastronómica diferente en el Hard Rock Cafe, un restaurante original que ofrece comida internacional, artículos únicos y buena música.   ", 66 € 
     Taller de paella en Barcelona   ,"   La paella es un plato muy popular en España y en este taller en Barcelona aprenderéis a cocinarla de la mano de un chef experto y después, ¡a disfrutarla!   ", 25 € 
     Oferta: Montserrat + Sagrada Familia   ,"   Descubre todo el patrimonio artístico de Montserrat en esta excursión que también incluye una visita guiada a la Sagrada Familia, la maestra de Gaudí.   ", 78 € 
"     Barcelona por tierra, mar y aire   ",   Descubre Barcelona de la manera más completa. Con este tour recorrerás la Ciudad Condal y disfrutarás de vistas increíbles desde helicóptero y desde el mar. ¡No te lo puedes perder!   , 86 € 
     Tour por la Barcelona prohibida   ,"   Historias de prostitución y espectáculos sexuales, escabrosos asesinatos… Descubre el lado más sórdido y depravado de Barcelona con este paseo guiado.   "," 99,5 € "
     Tour teatralizado de misterios por Barcelona   ,   Terror y misterio se entremezclan en este tour nocturno teatralizado que discurre por el centro histórico de Barcelona. ¿Te atreves a seguir a nuestro enigmático guía?   , 14 € 
     Paseo en catamarán por el Port Vell   ,   En este tour recorreremos la zona vieja de Barcelona a bordo del catamarán ecológico más grande de Europa. Navegaremos por el Port Vell y disfrutaremos de las mejores vistas del skyline de la ciudad.   , 11 € 
